folder,file,ext,kategorie,bytes,geaendert
Alte Texte,DGS.docx,.docx,text,5244,2011-06-07
Alte Texte,DGS.txt,.txt,text,2577,2011-06-13
Alte Texte,DIS.doc,.doc,text,28955,2010-12-23
Alte Texte,DIS.txt,.txt,text,22235,2011-01-23
Alte Texte,DKN.doc,.doc,text,26624,2011-06-08
Alte Texte,DKN.txt,.txt,text,3226,2011-06-13
Alte Texte,DL1-Iinfo-txt.doc,.doc,text,22528,2007-03-25
Alte Texte,DL1-Info.doc,.doc,text,25600,2007-05-18
Alte Texte,DL1.txt,.txt,text,197106,2007-05-18
Alte Texte,DLF.doc,.doc,text,59133,2010-12-23
Alte Texte,DLF.txt,.txt,text,28923,2011-02-02
Alte Texte,DMN.doc,.doc,text,97075,2010-12-23
Alte Texte,DMN.txt,.txt,text,26952,2011-02-23
Alte Texte,DNT.txt,.txt,text,30773,2011-02-22
Alte Texte,DRE.doc,.doc,text,43422,2010-12-23
Alte Texte,DRE.txt,.txt,text,26546,2011-02-02
Alte Texte,DSU.doc,.doc,text,30208,2011-06-08
Alte Texte,DSU.txt,.txt,text,4650,2011-06-13
Alte Texte,DSW.doc,.doc,text,31232,2011-06-08
Alte Texte,DSW.txt,.txt,text,6220,2011-06-13
Alte Texte,DUE.txt,.txt,text,2368,2011-05-24
Alte Texte,DUM.doc,.doc,text,67132,2010-12-23
Alte Texte,DUM.txt,.txt,text,38735,2011-02-02
Alte Texte,DUR.txt,.txt,text,10166,2011-05-24
Alte Texte,DWA.txt,.txt,text,31609,2011-05-24
Alte Texte,DZB.doc,.doc,text,28160,2011-06-08
Alte Texte,DZB.txt,.txt,text,4289,2011-06-13
Alte Texte,EBW.txt,.txt,text,5975,2011-06-13
Alte Texte,ER_export.txt,.txt,text,278815,2016-03-18
Alte Texte,FGP.doc,.doc,text,45883,2010-12-23
Alte Texte,FGP.txt,.txt,text,17122,2011-01-24
Alte Texte,FRAN1.doc,.doc,text,177664,2010-02-05
Alte Texte,FRAN1.txt,.txt,text,90696,2010-02-05
Alte Texte,FUE.doc,.doc,text,31232,2011-05-01
Alte Texte,FUE.txt,.txt,text,3973,2011-06-13
Alte Texte,FWE.docx,.docx,text,5520,2011-04-30
Alte Texte,FWE.txt,.txt,text,3777,2011-06-13
Alte Texte,GEG.txt,.txt,text,4372,2011-05-24
Alte Texte,GEORGR.doc,.doc,text,440832,2011-05-06
