workId,responsibilityStatement,printTitle
https://dh.plus.ac.at/mhdbdb/instance/work_103,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
https://dh.plus.ac.at/mhdbdb/instance/work_103,herausgegeben von Wolfgang Moelleken,Die Kleindichtung
https://dh.plus.ac.at/mhdbdb/instance/work_103,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
https://dh.plus.ac.at/mhdbdb/instance/work_103,,Beispiel vom Hasen
https://dh.plus.ac.at/mhdbdb/instance/work_103,,Allerheiligenlitanei
https://dh.plus.ac.at/mhdbdb/instance/work_104,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift
https://dh.plus.ac.at/mhdbdb/instance/work_104,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift cod. Pal. germ. 341
https://dh.plus.ac.at/mhdbdb/instance/work_104,,Beispiel vom Hasen
https://dh.plus.ac.at/mhdbdb/instance/work_105,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
https://dh.plus.ac.at/mhdbdb/instance/work_105,herausgegeben von Wolfgang Moelleken,Die Kleindichtung
https://dh.plus.ac.at/mhdbdb/instance/work_105,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
https://dh.plus.ac.at/mhdbdb/instance/work_105,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift
https://dh.plus.ac.at/mhdbdb/instance/work_105,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift cod. Pal. germ. 341
https://dh.plus.ac.at/mhdbdb/instance/work_105,,Allerheiligenlitanei
https://dh.plus.ac.at/mhdbdb/instance/work_105,,Beispiel vom Hasen
https://dh.plus.ac.at/mhdbdb/instance/work_106,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
https://dh.plus.ac.at/mhdbdb/instance/work_106,herausgegeben von Wolfgang Moelleken,Die Kleindichtung
https://dh.plus.ac.at/mhdbdb/instance/work_106,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
https://dh.plus.ac.at/mhdbdb/instance/work_106,,Allerheiligenlitanei
https://dh.plus.ac.at/mhdbdb/instance/work_109,herausgegeben von Klaus Grubmüller,Novellistik des Mittelalters
https://dh.plus.ac.at/mhdbdb/instance/work_109,herausgegeben von Klaus Grubmüller,Novellistik des Mittelalters
https://dh.plus.ac.at/mhdbdb/instance/work_109,,Aristoteles und Phyllis
https://dh.plus.ac.at/mhdbdb/instance/work_110,"herausgegeben von Hugo Moser, Helmut Tervooren",Des Minnesangs Frühling
https://dh.plus.ac.at/mhdbdb/instance/work_110,"herausgegeben von Hugo Moser, Helmut Tervooren",Des Minnesangs Frühling
https://dh.plus.ac.at/mhdbdb/instance/work_110,herausgegeben von Carl Kraus,Deutsche Liederdichter des 13. Jahrhunderts
https://dh.plus.ac.at/mhdbdb/instance/work_110,herausgegeben von Carl Kraus,Deutsche Liederdichter des 13. Jahrhunderts
https://dh.plus.ac.at/mhdbdb/instance/work_110,,[Namenlose Lieder]
https://dh.plus.ac.at/mhdbdb/instance/work_115,"herausgegeben von Thomas Bein, Horst Brunner, Christoph Cormeau","Leich, Lieder, Sangsprüche"
https://dh.plus.ac.at/mhdbdb/instance/work_115,"herausgegeben von Thomas Bein, Horst Brunner, Christoph Cormeau","Leich, Lieder, Sangsprüche"
https://dh.plus.ac.at/mhdbdb/instance/work_115,,[Leich]
https://dh.plus.ac.at/mhdbdb/instance/work_118,"herausgegeben von Thomas Bein, Horst Brunner, Christoph Cormeau","Leich, Lieder, Sangsprüche"
https://dh.plus.ac.at/mhdbdb/instance/work_118,"herausgegeben von Thomas Bein, Horst Brunner, Christoph Cormeau","Leich, Lieder, Sangsprüche"
https://dh.plus.ac.at/mhdbdb/instance/work_118,,[Leich]
https://dh.plus.ac.at/mhdbdb/instance/work_119,"herausgegeben von Hugo Moser, Helmut Tervooren",Des Minnesangs Frühling
https://dh.plus.ac.at/mhdbdb/instance/work_119,"herausgegeben von Hugo Moser, Helmut Tervooren",Des Minnesangs Frühling
https://dh.plus.ac.at/mhdbdb/instance/work_119,,[Namenlose Lieder]
https://dh.plus.ac.at/mhdbdb/instance/work_12,herausgegeben von Paul Gereke,Die Legenden
https://dh.plus.ac.at/mhdbdb/instance/work_12,,Alexius
https://dh.plus.ac.at/mhdbdb/instance/work_120,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
https://dh.plus.ac.at/mhdbdb/instance/work_120,herausgegeben von Wolfgang Moelleken,Die Kleindichtung
https://dh.plus.ac.at/mhdbdb/instance/work_120,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
https://dh.plus.ac.at/mhdbdb/instance/work_120,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift
https://dh.plus.ac.at/mhdbdb/instance/work_120,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift cod. Pal. germ. 341
https://dh.plus.ac.at/mhdbdb/instance/work_120,,Allerheiligenlitanei
https://dh.plus.ac.at/mhdbdb/instance/work_120,,Beispiel vom Hasen
https://dh.plus.ac.at/mhdbdb/instance/work_121,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift
https://dh.plus.ac.at/mhdbdb/instance/work_121,herausgegeben von Gustav Rosenhagen,Die Heidelberger Handschrift cod. Pal. germ. 341
https://dh.plus.ac.at/mhdbdb/instance/work_121,,Beispiel vom Hasen
https://dh.plus.ac.at/mhdbdb/instance/work_123,herausgegeben von Wolfgang Moelleken,Die Kleindichtung des Strickers
