conceptId,prefLabelDe,prefLabelEn,altLabelDe,altLabelEn,broaderConcepts
21111302,Backwaren,Baked goods,,,"21111300,21111306,23303350"
21111303,Milchprodukte,Milk products,,,"21111300,21111306,23303120"
21111304,Nahrungszubereitung,Food preparation,Kochen/Backen,Cooking/Baking,"21111300,23305400"
21111305,Zutaten/Gewürze/Kräuter,Ingredients/Spices/Herbs,,,21111300
21111306,Speisen,Dishes,Gerichte,,21111300
21111307,Getränke,Beverages,Trinken,Drinking,21111300
21111308,Eier,Eggs,,,21111300
21111400,Genussmittel,Means of luxury consumption,,Luxury food and beverages,21111000
21112000,Sexualleben/Erotik,Sexual life/Eroticism,Intimität,Love life,21110000
21113000,Kleidung,Clothing,Bekleidung,Clothes,21110000
21113020,Männerbekleidung,Men's clothes,Herrenbekleidung,Men's wear,21113000
21113021,Männer/Oberbekleidung,Men's upper clothes,Herren-Oberbekleidung,Men's upper clothing,21113020
21113022,Männer/Unterbekleidung,Men's underclothes,Männer/Unterkleider,Men's underclothing,21113020
21113023,Männerbekleidung/Zubehör,Men's clothing accessories,Herrenkleidung/Zubehör,Menswear accessories,21113020
21113030,Frauenbekleidung,Women's clothes,Damenbekleidung,Women's wear,21113000
21113031,Frauen/Oberbekleidung,Women's upper clothes,Damen-Oberbekleidung,Women's outerwear,21113030
21113032,Frauen/Unterbekleidung,Women's underclothes,Frauen/Unterkleidung,Women's underclothing,21113030
21113033,Frauenbekleidung/Zubehör,Women's clothing accessories,Damenbekleidung/Zubehör,Women's wear accessories,21113030
21113040,Kopfbedeckungen,Headgear,,Headwear,21113000
21113050,Schuhe,Shoes,Schuhwerk,Footwear,21113000
21113060,Schmuck/Verzierung,Jewelry/Adornment,Accessoires,Jewellery/Adornment,21113000
21113061,Schmuck/Verzierung/Namen,Jewelry/Adornment/Names,,,21113060
21113070,Stoffe/Leder/Pelze,Fabrics/Leather/Furs,,,"21113000,23305500,23305900"
21113080,Hygiene/Kosmetik/Haarpflege,Hygiene/Cosmetics/Hair care,Sauberkeit,Cleanness,21113000
21113100,Trachten/Kostüme/Uniformen,Traditional costumes/Uniforms,,,21113000
22000000,Geist/Seele,Mental activity/Spirit/Soul,,,20000000
22200000,Wahrnehmung,Perception,Perzeption,,22000000
22220000,Übersinnliche Wahrnehmung,Extrasensory perception,,,22200000
22300000,Bewusstsein,Consciousness,,,22000000
22400000,Erinnerung,Memory,Erinnerungsvermögen,,22000000
22500000,Einbildung,Imagination,Fantasie,Fantasy,22000000
22600000,Denken,Thinking,,,22000000
22620000,Anschauung/Begriff/Vorstellung,Observation/Conceptualization/Idea,Anschauung/Begriff/Vorstellung/Denkprozesse,Observation/Conceptualisation/Idea/Thought processes ,22600000
22630000,Gedankengang,Thought process,,,22600000
22640000,Urteilen/Schließen,Judgment/Conclusion,Erkenntnis,Understanding,22600000
22641000,Beweis/Zustimmung/Widerspruch,Proof/Agreement/Objection,Dankbarkeit,Gratitude,22640000
22642000,Wahrheit/Irrtum/Lüge/Täuschung,Truth/Error/Lie/Deception,Bekenntnis,Confession,22640000
22650000,Aufmerksamkeit,Attention,Verständnis,Comprehension,22600000
22660000,Wissen,Knowledge,Gedächtnis,Experience,22600000
22700000,Gemütszustand/Gefühl,State of mind/Feeling,Empfindung,,22000000
22702000,Gemütszustände,States of mind,Gefühlslagen,Mental state,22700000
22702010,Gefallen/Missfallen,Pleasure/Displeasure,,,22702000
22702020,Glückseligkeit/Unglück,Happiness/Unhappiness,Glücksgefühl,Luck,22702000
22702030,Freude/Leid,Joy/Affliction,Elend,Misery,22702000
22702040,Sorge/Unbeschwertheit,Worry/Lightheartedness,Angst,Fear,22702000
22702050,Langeweile,Boredom,,,22702000
